bank_transaction_id,transaction_reference,merchant_name,transaction_date,amount,currency,transaction_type
BANK-0001,ORD-2026-00001,Northstar Books,2026-01-05,604.27,USD,credit
BANK-0002,ORD-2026-00002,Cedar & Finch Market,2026-01-06,355.32,USD,credit
BANK-0003,ORD-2026-00003,Blue Harbor Supplies,2026-01-07,209.77,USD,credit
BANK-0004,ORD-2026-00004,Maple Street Cafe,2026-01-08,308.71,USD,credit
BANK-0005,ORD-2026-00005,Silverline Software,2026-01-09,625.11,USD,credit
BANK-0006,ORD-2026-00006,Bright Orchard Goods,2026-01-10,453.63,USD,credit
BANK-0007,ORD-2026-00007,Juniper Home Studio,2026-01-11,323.40,USD,credit
BANK-0008,ORD-2026-00008,Redwood Bicycle Co,2026-01-12,576.99,USD,credit
BANK-0009,ORD-2026-00009,Northstar Books,2026-01-13,435.89,USD,credit
BANK-0010,ORD-2026-00010,Cedar & Finch Market,2026-01-14,181.79,USD,credit
BANK-0011,ORD-2026-00011,Blue Harbor Supplies,2026-01-15,653.79,USD,credit
BANK-0012,ORD-2026-00012,Maple Street Cafe,2026-01-16,667.46,USD,credit
BANK-0013,ORD-2026-00013,Silverline Software,2026-01-17,169.21,USD,credit
BANK-0014,ORD-2026-00014,Bright Orchard Goods,2026-01-18,280.69,USD,credit
BANK-0015,ORD-2026-00015,Juniper Home Studio,2026-01-19,300.54,USD,credit
BANK-0016,ORD-2026-00016,Redwood Bicycle Co,2026-01-20,535.05,USD,credit
BANK-0017,ORD-2026-00017,Northstar Books,2026-01-21,34.94,USD,credit
BANK-0018,ORD-2026-00018,Cedar & Finch Market,2026-01-22,357.95,USD,credit
BANK-0019,ORD-2026-00019,Blue Harbor Supplies,2026-01-23,526.27,USD,credit
BANK-0020,ORD-2026-00020,Maple Street Cafe,2026-01-24,361.59,USD,credit
BANK-0021,ORD-2026-00021,Silverline Software,2026-01-25,96.04,USD,credit
BANK-0022,ORD-2026-00022,Bright Orchard Goods,2026-01-26,160.30,USD,credit
BANK-0023,ORD-2026-00023,Juniper Home Studio,2026-01-27,345.93,USD,credit
BANK-0024,ORD-2026-00024,Redwood Bicycle Co,2026-01-28,226.98,USD,credit
BANK-0025,ORD-2026-00025,Northstar Books,2026-01-29,306.43,USD,credit
BANK-0026,ORD-2026-00026,Cedar & Finch Market,2026-01-30,458.12,USD,credit
BANK-0027,ORD-2026-00027,Blue Harbor Supplies,2026-01-31,188.38,USD,credit
BANK-0028,ORD-2026-00028,Maple Street Cafe,2026-02-01,777.41,USD,credit
BANK-0029,ORD-2026-00029,Silverline Software,2026-02-02,638.25,USD,credit
BANK-0030,ORD-2026-00030,Bright Orchard Goods,2026-02-03,731.60,USD,credit
BANK-0031,ORD-2026-00031,Juniper Home Studio,2026-02-04,56.22,USD,credit
BANK-0032,ORD-2026-00032,Redwood Bicycle Co,2026-02-05,422.42,USD,credit
BANK-0033,ORD-2026-00033,Northstar Books,2026-02-06,181.65,USD,credit
BANK-0034,ORD-2026-00034,Cedar & Finch Market,2026-02-07,617.21,USD,credit
BANK-0035,ORD-2026-00035,Blue Harbor Supplies,2026-02-08,237.54,USD,credit
BANK-0036,ORD-2026-00036,Maple Street Cafe,2026-02-09,176.98,USD,credit
BANK-0037,ORD-2026-00037,Silverline Software,2026-02-10,323.97,USD,credit
BANK-0038,ORD-2026-00038,Bright Orchard Goods,2026-02-11,415.25,USD,credit
BANK-0039,ORD-2026-00039,Juniper Home Studio,2026-02-12,296.81,USD,credit
BANK-0040,ORD-2026-00040,Redwood Bicycle Co,2026-02-13,689.00,USD,credit
BANK-0041,ORD-2026-00041,Northstar Books,2026-02-14,40.93,USD,credit
BANK-0042,ORD-2026-00042,Cedar & Finch Market,2026-02-15,250.26,USD,credit
BANK-0043,ORD-2026-00043,Blue Harbor Supplies,2026-02-16,536.65,USD,credit
