payment_id,transaction_reference,merchant_name,invoice_id,payment_date,amount,currency
PAY-0001,ORD-2026-00001,Northstar Books,INV-00001,2026-01-05,622.63,USD
PAY-0002,ORD-2026-00002,Cedar & Finch Market,INV-00002,2026-01-06,366.24,USD
PAY-0003,ORD-2026-00003,Blue Harbor Supplies,INV-00003,2026-01-07,216.34,USD
PAY-0004,ORD-2026-00004,Maple Street Cafe,INV-00004,2026-01-08,318.24,USD
PAY-0005,ORD-2026-00005,Silverline Software,INV-00005,2026-01-09,644.09,USD
PAY-0006,ORD-2026-00006,Bright Orchard Goods,INV-00006,2026-01-10,467.49,USD
PAY-0007,ORD-2026-00007,Juniper Home Studio,INV-00007,2026-01-11,333.37,USD
PAY-0008,ORD-2026-00008,Redwood Bicycle Co,INV-00008,2026-01-12,594.53,USD
PAY-0009,ORD-2026-00009,Northstar Books,INV-00009,2026-01-13,449.22,USD
PAY-0010,ORD-2026-00010,Cedar & Finch Market,INV-00010,2026-01-14,187.53,USD
PAY-0011,ORD-2026-00011,Blue Harbor Supplies,INV-00011,2026-01-15,673.62,USD
PAY-0012,ORD-2026-00012,Maple Street Cafe,INV-00012,2026-01-16,687.70,USD
PAY-0013,ORD-2026-00013,Silverline Software,INV-00013,2026-01-17,174.57,USD
PAY-0014,ORD-2026-00014,Bright Orchard Goods,INV-00014,2026-01-18,289.38,USD
PAY-0015,ORD-2026-00015,Juniper Home Studio,INV-00015,2026-01-19,309.82,USD
PAY-0016,ORD-2026-00016,Redwood Bicycle Co,INV-00016,2026-01-20,551.34,USD
PAY-0017,ORD-2026-00017,Northstar Books,INV-00017,2026-01-21,36.29,USD
PAY-0018,ORD-2026-00018,Cedar & Finch Market,INV-00018,2026-01-22,368.95,USD
PAY-0019,ORD-2026-00019,Blue Harbor Supplies,INV-00019,2026-01-23,542.30,USD
PAY-0020,ORD-2026-00020,Maple Street Cafe,INV-00020,2026-01-24,372.70,USD
PAY-0021,ORD-2026-00021,Silverline Software,INV-00021,2026-01-25,99.22,USD
PAY-0022,ORD-2026-00022,Bright Orchard Goods,INV-00022,2026-01-26,165.40,USD
PAY-0023,ORD-2026-00023,Juniper Home Studio,INV-00023,2026-01-27,356.57,USD
PAY-0024,ORD-2026-00024,Redwood Bicycle Co,INV-00024,2026-01-28,234.07,USD
PAY-0025,ORD-2026-00025,Northstar Books,INV-00025,2026-01-29,315.89,USD
PAY-0026,ORD-2026-00026,Cedar & Finch Market,INV-00026,2026-01-30,472.11,USD
PAY-0027,ORD-2026-00027,Blue Harbor Supplies,INV-00027,2026-01-31,194.31,USD
PAY-0028,ORD-2026-00028,Maple Street Cafe,INV-00028,2026-02-01,800.94,USD
PAY-0029,ORD-2026-00029,Silverline Software,INV-00029,2026-02-02,657.62,USD
PAY-0030,ORD-2026-00030,Bright Orchard Goods,INV-00030,2026-02-03,753.76,USD
PAY-0031,ORD-2026-00031,Juniper Home Studio,INV-00031,2026-02-04,58.21,USD
PAY-0032,ORD-2026-00032,Redwood Bicycle Co,INV-00032,2026-02-05,435.35,USD
PAY-0033,ORD-2026-00033,Northstar Books,INV-00033,2026-02-06,187.38,USD
PAY-0034,ORD-2026-00034,Cedar & Finch Market,INV-00034,2026-02-07,635.95,USD
PAY-0035,ORD-2026-00035,Blue Harbor Supplies,INV-00035,2026-02-08,244.94,USD
PAY-0036,ORD-2026-00036,Maple Street Cafe,INV-00036,2026-02-09,182.57,USD
PAY-0037,ORD-2026-00037,Silverline Software,INV-00037,2026-02-10,333.95,USD
PAY-0038,ORD-2026-00038,Bright Orchard Goods,INV-00038,2026-02-11,427.96,USD
PAY-0039,ORD-2026-00039,Juniper Home Studio,INV-00039,2026-02-12,305.98,USD
PAY-0040,ORD-2026-00040,Redwood Bicycle Co,INV-00040,2026-02-13,709.89,USD
PAY-0041,ORD-2026-00041,Northstar Books,INV-00041,2026-02-14,42.46,USD
