settlement_id,payment_id,settlement_date,gross_amount,processing_fee,net_amount,currency
SET-0001,PAY-0001,2026-01-07,622.63,18.36,604.27,USD
SET-0002,PAY-0002,2026-01-08,366.24,10.92,355.32,USD
SET-0003,PAY-0003,2026-01-09,216.34,6.57,209.77,USD
SET-0004,PAY-0004,2026-01-10,318.24,9.53,308.71,USD
SET-0005,PAY-0005,2026-01-11,644.09,18.98,625.11,USD
SET-0006,PAY-0006,2026-01-12,467.49,13.86,453.63,USD
SET-0007,PAY-0007,2026-01-13,333.37,9.97,323.40,USD
SET-0008,PAY-0008,2026-01-14,594.53,17.54,576.99,USD
SET-0009,PAY-0009,2026-01-15,449.22,13.33,435.89,USD
SET-0010,PAY-0010,2026-01-16,187.53,5.74,181.79,USD
SET-0011,PAY-0011,2026-01-17,673.62,19.83,653.79,USD
SET-0012,PAY-0012,2026-01-18,687.70,20.24,667.46,USD
SET-0013,PAY-0013,2026-01-19,174.57,5.36,169.21,USD
SET-0014,PAY-0014,2026-01-20,289.38,8.69,280.69,USD
SET-0015,PAY-0015,2026-01-21,309.82,9.28,300.54,USD
SET-0016,PAY-0016,2026-01-22,551.34,16.29,535.05,USD
SET-0017,PAY-0017,2026-01-23,36.29,1.35,34.94,USD
SET-0018,PAY-0018,2026-01-24,368.95,11.00,357.95,USD
SET-0019,PAY-0019,2026-01-25,542.30,16.03,526.27,USD
SET-0020,PAY-0020,2026-01-26,372.70,11.11,361.59,USD
SET-0021,PAY-0021,2026-01-27,99.22,3.18,96.04,USD
SET-0022,PAY-0022,2026-01-28,165.40,5.10,160.30,USD
SET-0023,PAY-0023,2026-01-29,356.57,10.64,345.93,USD
SET-0024,PAY-0024,2026-01-30,234.07,7.09,226.98,USD
SET-0025,PAY-0025,2026-01-31,315.89,9.46,306.43,USD
SET-0026,PAY-0026,2026-02-01,472.11,13.99,458.12,USD
SET-0027,PAY-0027,2026-02-02,194.31,5.93,188.38,USD
SET-0028,PAY-0028,2026-02-03,800.94,23.53,777.41,USD
SET-0029,PAY-0029,2026-02-04,657.62,19.37,638.25,USD
SET-0030,PAY-0030,2026-02-05,753.76,22.16,731.60,USD
SET-0031,PAY-0031,2026-02-06,58.21,1.99,56.22,USD
SET-0032,PAY-0032,2026-02-07,435.35,12.93,422.42,USD
SET-0033,PAY-0033,2026-02-08,187.38,5.73,181.65,USD
SET-0034,PAY-0034,2026-02-09,635.95,18.74,617.21,USD
SET-0035,PAY-0035,2026-02-10,244.94,7.40,237.54,USD
SET-0036,PAY-0036,2026-02-11,182.57,5.59,176.98,USD
SET-0037,PAY-0037,2026-02-12,333.95,9.98,323.97,USD
SET-0038,PAY-0038,2026-02-13,427.96,12.71,415.25,USD
SET-0039,PAY-0039,2026-02-14,305.98,9.17,296.81,USD
SET-0040,PAY-0040,2026-02-15,709.89,20.89,689.00,USD
SET-0041,PAY-0041,2026-02-16,42.46,1.53,40.93,USD
SET-0042,PAY-0042,2026-02-17,258.04,7.78,250.26,USD
SET-0043,PAY-0043,2026-02-18,552.99,16.34,536.65,USD
SET-0044,PAY-0044,2026-02-19,187.48,5.74,181.74,USD
SET-0045,PAY-0045,2026-02-20,284.72,8.56,276.16,USD
SET-0046,PAY-0046,2026-02-21,578.73,17.08,561.65,USD
SET-0047,PAY-0047,2026-02-22,734.36,21.60,712.76,USD
SET-0048,PAY-0048,2026-02-23,812.54,23.86,788.68,USD
SET-0049,PAY-0049,2026-02-24,635.47,18.73,616.74,USD
SET-0050,PAY-0050,2026-02-25,630.05,18.57,611.48,USD
SET-0051,PAY-0051,2026-02-26,252.24,7.61,244.63,USD
SET-0052,PAY-0052,2026-02-27,781.74,22.97,758.77,USD
